text_type;text
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji
birthQuestion;Data urodzenia dziecka
genderQuestion;Płeć dziecka
genders;dziewczynka,chłopiec
btn;Start
noGender;Proszę wybrać płeć dziecka.
modalTitle;Uwaga!
sidebarInstr;Proszę zaznaczyć ‚tak’ lub ‚nie’.
choiceNames;nie, tak
thanks;Bardzo dziękujemy za wypełnienie kwestionariusza! Więcej informacji znajdą Państwo w zakładce „Wiedza”
end;Koniec!
alreadyFilled;Ten inwentarz został już przez Państwa wypełniony.
fillerQuestion;Kim Państwo są dla dziecka?
fillers;mama,tata,babcia,dziadek,niania,nauczyciel(-ka),inna odpowiedź (proszę wpisać):
noFiller;Proszę wybrać osobę, która wypełnia kwestionariusz
email;yes
error;Nastąpiło przerwanie połączenia. Proszę odświeżyć i spróbować ponownie. Jeśli to się powtarza, prosimy o zrobienie screena tego ekranu i wysłanie na maila multilada@psych.uw.edu.pl.
refresh;Odśwież
commentLabel;Uwagi
endText;Proszę nacisnąć ‚Zakończ’, aby zakończyć.
endBtn;Zakończ
