text_type;text
cdiNameSufix;Adaptiv versjon for foreldre til yngre barn
noGender;Hvilket kjønn har barnet?
fillerLabel;Hvilken relasjon har du til barnet?
fillers;mor, far, annet svar (vennligst skriv inn):
noFiller;Velg hvem som skal fylle ut spørreskjemaet.
sidebarInstr;Kryss av for «ja» eller «nei».
alreadyFilled;Dette spørreskjemaet er allerede fylt ut av deg.
CompHeader;Forståelse
GestHeader;Handlinger og gester
ProdHeader;Tale
continueBtn;Neste
longText;"<p>Spørreskjemaet brukes til å studere de tidlige stadiene av språkutviklingen hos små barn.  Når du svarer på spørsmålene, skal du ikke teste barnet ditt, be det gjenta enkeltord eller prøve å lære det «nye ord». Stol på intuisjonen din, og observer barnet ditt hvis det er nødvendig.</p><p>Du kan gå tilbake til spørreskjemaet senere uten å miste dine tidligere svar: bare bruk samme lenke.</p><p>Hvis du stopper midt i en del, må du starte fra begynnelsen av den delen når du kommer tilbake. For å fullføre skjemaet må du bekrefte hver del</p><p><strong>MERK: Hvert ord vil bare bli presentert én gang. Når du har krysset av for om barnet ditt bruker et bestemt ord, kan du ikke gå tilbake til det. Det er derfor viktig at du tar deg tid til å tenke over svarene dine.</strong></p><p>Svar på de følgende tre spørsmålene og klikk på «Start»-knappen.</p>"
ProdLongText;"<p>På de følgende sidene presenterer vi ord som ofte er kjent for små barn.</p><p><strong>Kryss av for «ja» hvis barnet ditt sier dem av seg selv, spontant</strong> (husk at barn forstår flere ord enn de selv kan si; vi er ikke ute etter informasjon om ord som barnet ditt bare kan gjenta).</p><p>Merk av «ja» også når:</p><ul><li>barnet ditt bruker en annen form, f.eks. en barneform «vov-vov» i stedet for «hund», eller en dialektform, f.eks. «ronse» eller «disse» i stedet for «huske»,</li><li>barnet ditt uttaler det annerledes, f.eks. «fue» i stedet for «flue» eller «djuej» i stedet for «druer»,</li><li>barnet ditt bruker sitt eget uttrykk, f.eks. «esketti» i stedet for «spagetti»,</li><li>familien din bruker et annet ord enn det som er oppgitt i spørreskjemaet.</li></ul><p>I feltet «andre kommenterer» på slutten av delen kan du legge til alternative former, eller barnets eller familiens egne uttrykk for ordene fra listen.</p><p><strong>VIKTIG: Spørreskjemaet er beregnet på barn i ulike aldre, så ikke bli bekymret dersom barnet ditt bare kan noen få av ordene akkurat nå.</strong></p>"
GestLongText;"<p>Når barn lærer å kommunisere med andre mennesker, bruker de ofte gester for å uttrykke sine ønsker. De imiterer også ofte voksne, ikke bare i tale, men også i lek, for eksempel ved å late som de utfører omsorgsaktiviteter.</p><p>For hver gest og aktivitet som vises på de følgende sidene, kryss av for «ja» ved beskrivelsen som passer med det barnet ditt gjør akkurat nå. Om du vil dele kommentarer eller refleksjoner med oss, finnes det et åpent felt for dette i slutten av skjemaet. </p>"
CompLongText;"<p>På de følgende sidene presenterer vi typiske ord som er kjent for mange små barn.</p><p><strong>Kryss av for «ja» hvis barnet ditt forstår dem.</strong></p><p>I feltet «andre kommentarer» på slutten av delen kan du legge til andre former, enten av ord fra listen eller egne ord og uttrykk som brukes av barnet ditt eller i familien.</p>"
endText;Klikk på «bekreft» for å fullføre denne delen.
endBtn;Bekreft
thanksMsgTitle;Viktig!
thanksMsgText;"Når du klikker «neste», blir du sendt videre til del to. Oppdater siden hvis det tar for lang tid."
redirectionBtn;Neste
