text_type;text;item_type;category
warning;"UWAGA: Zakończenie inwentarza będzie możliwe dopiero po zatwierdzeniu wszystkich części. Zakładka ""Wypowiedzi"" będzie dostępna tylko, jeśli zaznaczą Państwo, że dziecko łączy wyrazy (zakładka ""Łączenie wyrazów""). W każdej chwili można przerwać wypełnianie inwentarza, co nie spowoduje utraty dotychczasowych odpowiedzi. Żeby wrócić do wypełniania (np. na innym urządzeniu), proszę użyć dokładnie tego samego linku.";start;
backBtn;Cofnij;;
nextBtn;Dalej;;
saveBtn;Zatwierdź;;
startBtn;Start;;
dateLabel;Data urodzin Państwa dziecka;;
genderLabel;Płeć Państwa dziecka;;
noGender;Proszę wskazać płeć.;;
noFiller;Proszę wskazać osobę wypełniającą.;;
badDate;Błędna data urodzenia.;;
genders;dziewczynka,chłopiec,inna;;
fillerLabel;Kim Pan(-i) jest dla dziecka?;;
fillers;mama,tata,babcia,dziadek,niania,nauczyciel(-ka),inna odpowiedź (proszę wpisać):;;
commentLabel;Państwa uwagi;;
cdiNamePrefix;Inwentarz Rozwoju Mowy i Komunikacji;;
endTooltip;Zakończenie inwentarza będzie możliwe po zatwierdzeniu wszystkich części.;;
sentencesTooltip;Zakładka „Wypowiedzi” staje się dostępna w zależności od odpowiedzi udzielonych w zakładce „Łączenie wyrazów”.;;
header;Łączenie wyrazów;combine;
combineBtn;Łączenie wyrazów ;combine;
choiceNames;Jeszcze nie,Czasem,Często;combine;
header;Zakończenie;end;
endBtn;Zakończ;end;
instr; Jeśli wypełnili Państwo wszystkie części kwestionariusza, proszę kliknąć przycisk „Zatwierdź”. ;end;
help;Dziękujemy za wypełnienie!;postEnd;
instr;Bardzo dziękujemy za wypełnienie kwestionariusza! Więcej informacji znajdą Państwo w zakładce „Wiedza”.;postEnd;
;;;none
