item_id;definition;language;form;type;category;lexical_category;lexical_class;uni_lemma;complexity_category ;num_item_id
item_1;A. Widziałem psa. Pies szczekał.%B. Widziałem psa. Pies szczekał.;Polish;CDI3;alternatives;grupa1;;;;;1
item_2;A. Jestem wesoła(-y).%B. Jestem wesoła(-y). Śpiewam piosenki.;Polish;CDI3;alternatives;grupa1;;;;;2
item_3;A. Chowamy klocki.%B. Schowamy klocki.;Polish;CDI3;alternatives;grupa1;;;;;3
item_4;A. Biegam.%B. Biegam.;Polish;CDI3;alternatives;grupa1;;;;;4
item_5;A. Zjemy kolację.%B. Zjemy kolację.;Polish;CDI3;alternatives;grupa1;;;;;5
item_6;A. Umyjemy ząbki.%B. Myjemy ząbki.;Polish;CDI3;alternatives;grupa1;;;;;6
item_7;A. Jest ładna pogoda i pójdziemy na spacer.%B. Jest ładna pogoda. Pójdziemy na spacer.;Polish;CDI3;alternatives;grupa1;;;;;7
item_8;A. Zabawka jest pod łóżkiem.%B. Zabawka jest pod łóżkiem.;Polish;CDI3;alternatives;grupa1;;;;;8
item_9;A. Jestem zmęczony(-a). Idę spać.%B. Jestem zmęczony(-a).;Polish;CDI3;alternatives;grupa1;;;;;9
item_10;A. Zaśpiewasz piosenkę?%B. Zaśpiewasz piosenkę?;Polish;CDI3;alternatives;grupa1;;;;;10
item_11;A. Babcia powiedziała: przyjadę.%B. Babcia powiedziała: przyjadę.;Polish;CDI3;alternatives;grupa1;;;;;11
item_12;A. Dzisiaj myjemy główkę.%B. Dzisiaj myjemy główkę.;Polish;CDI3;alternatives;grupa1;;;;;12
item_13;A. Kolega rozlał wodę. Wytarł podłogę.%B. Kolega wytarł podłogę.;Polish;CDI3;alternatives;grupa1;;;;;13
item_14;A. Wieczorem jemy kolację.%B. Wieczorem jemy kolację.;Polish;CDI3;alternatives;grupa1;;;;;14
item_15;A. Odkręć wodę.%B. Odkręć wodę. Umyję rączki.;Polish;CDI3;alternatives;grupa1;;;;;15
item_16;A. Mama kupiła zabawkę. Zabawka lezy w szafie.%B. Mama kupiła zabawkę. Zabawka lezy w szafie.;Polish;CDI3;alternatives;grupa1;;;;;16
item_17;A. Jem kanapkę.%B. Jem kanapkę.;Polish;CDI3;alternatives;grupa1;;;;;17
item_18;A. Widzę ptaszki.%B. Widzę ptaszki.;Polish;CDI3;alternatives;grupa2;;;;;18
item_19;A. Siadacie tutaj.%B. Siadacie tutaj.;Polish;CDI3;alternatives;grupa2;;;;;19
item_20;A. Piję.%B. Piję.;Polish;CDI3;alternatives;grupa2;;;;;20
item_21;A. Chcę jogurt i płatki.%B. Chcę jogurt i płatki.;Polish;CDI3;alternatives;grupa2;;;;;21
item_22;A. Tata jedzie po soczek.%B. Tata jedzie po soczek.;Polish;CDI3;alternatives;grupa2;;;;;22
item_23;A. Lepiłem(-am) bałwana.%B. Był śnieg i lepiłem(-am) bałwana.;Polish;CDI3;alternatives;grupa2;;;;;23
item_24;A. Jestem głodny(-a).%B. Jestem głodny(-a) i zjem banana.;Polish;CDI3;alternatives;grupa2;;;;;24
item_25;A. Będzie ciepło. Pójdę na spacer.%B. Pójdę na spacer.;Polish;CDI3;alternatives;grupa2;;;;;25
item_26;A. Zapalę światło. Będziesz widział.%B. Zapalę światło.;Polish;CDI3;alternatives;grupa2;;;;;26
item_27;A. Tata lubi pierogi.%B. Tata lubi pierogi.;Polish;CDI3;alternatives;grupa2;;;;;27
item_28;A. Ptaszki śpiewają.%B. Ptaszki śpiewają.;Polish;CDI3;alternatives;grupa2;;;;;28
item_29;A. Czytam bajkę.%B. Czytam bajkę.;Polish;CDI3;alternatives;grupa2;;;;;29
item_30;A. Wujek śpiewa piosenkę.%B. Wujek zaśpiewa piosenkę.;Polish;CDI3;alternatives;grupa2;;;;;30
item_31;A. Mama czyta bajkę.%B. Mama czyta bajkę.;Polish;CDI3;alternatives;grupa2;;;;;31
item_32;A. Naklejki są krzywo.%B. Naklejki są krzywo.;Polish;CDI3;alternatives;grupa2;;;;;32
item_33;A. Przyjedzie ciocia. Będziemy się bawić.%B. Przyjedzie ciocia. Będziemy się bawić.;Polish;CDI3;alternatives;grupa2;;;;;33
item_34;A. Zapalę światło.%B. Zapalę światło.;Polish;CDI3;alternatives;grupa2;;;;;34
item_35;A. Mama rysuje kotka.%B. Mama rysuje kotka.;Polish;CDI3;alternatives;grupa3;;;;;35
item_36;A. Jem zupę.%B. Tata zrobił zupę. Jem zupę.;Polish;CDI3;alternatives;grupa3;;;;;36
item_37;A. Mam klocki.%B. Mam klocki.;Polish;CDI4;alternatives;grupa3;;;;;37
item_38;A. Pada deszcz i nie wyjdziemy.%B. Pada deszcz. Nie wyjdziemy.;Polish;CDI4;alternatives;grupa3;;;;;38
item_39;A. Idę do przedszkola.%B. Idę do przedszkola.;Polish;CDI4;alternatives;grupa3;;;;;39
item_40;A. Babcia dała mi książeczkę. Oglądam książeczkę.%B. Oglądam książeczkę.;Polish;CDI4;alternatives;grupa3;;;;;40
item_41;A. Oni idą do sklepu.%B. Oni idą do sklepu.;Polish;CDI4;alternatives;grupa3;;;;;41
item_42;A. Mama jest zmęczona. Śpi.%B. Mama śpi.;Polish;CDI4;alternatives;grupa3;;;;;42
item_43;A. Dostanę misia i będę się cieszyć.%B. Dostanę misia. Będę się cieszyć.;Polish;CDI4;alternatives;grupa3;;;;;43
item_44;A. Ptaszek jest żółty.%B. Ptaszek jest żółty.;Polish;CDI4;alternatives;grupa3;;;;;44
item_45;A. Chcę banana.%B. Chcę banana.;Polish;CDI4;alternatives;grupa3;;;;;45
item_46;A. Nie mogę znaleźć misia.%B. Szukam misia. Nie mogę znaleźć.;Polish;CDI4;alternatives;grupa3;;;;;46
item_47;A. Tata śpi.%B. Tata śpi.;Polish;CDI4;alternatives;grupa3;;;;;47
item_48;A. Podlałem(-am) kwiaty.%B. Podlałem(-am) kwiaty.;Polish;CDI4;alternatives;grupa3;;;;;48
item_49;A. Tata rozmawia.%B. Tata rozmawia.;Polish;CDI4;alternatives;grupa3;;;;;
item_50;A. Sam(-a) założę spodnie.%B. Jestem duży(-a) i sam(-a) założę spodnie.;Polish;CDI4;alternatives;grupa3;;;;;
item_51;A. Pani uśmiecha się.%B. Pani ma pieska. Pani uśmiecha się.;Polish;CDI4;alternatives;grupa3;;;;;
item_52;A. Jem kanapkę. Piję wodę.%B. Jem kanapkę.;Polish;CDI4;alternatives;grupa4;;;;;
item_53;A. Wrócę do domu i zjem obiad.%B. Wrócę do domu. Zjem obiad.;Polish;CDI4;alternatives;grupa4;;;;;
item_54;A. Nie otworzę.%B. Nie otworzę.;Polish;CDI4;alternatives;grupa4;;;;;
item_55;A. Chcę do sklepu.%B. Idę do sklepu.;Polish;CDI4;alternatives;grupa4;;;;;
item_56;A. Wracałem(-am) do domu i widziałem(-am) kolegę.%B. Wracałem(-am) do domu. Widziałem(-am) kolegę.;Polish;CDI4;alternatives;grupa4;;;;;
item_57;A. Jedziemy do sklepu.%B. Jedziemy do sklepu.;Polish;CDI4;alternatives;grupa4;;;;;
item_58;A. Myję nogi. Będą czyste.%B. Myję nogi.;Polish;CDI4;alternatives;grupa4;;;;;
item_59;A. Zostaniemy w domu.%B. Będzie padać i zostaniemy w domu.;Polish;CDI4;alternatives;grupa4;;;;;
item_60;A. Oni pojadą do babci.%B. Oni jadą do babci.;Polish;CDI4;alternatives;grupa4;;;;;
item_61;A. Widziałem(-am) zabawki.%B. Widziałem(-am) zabawki.;Polish;CDI4;alternatives;grupa4;;;;;
item_62;A. Tata przyjdzie. Nakarmi kota.%B. Tata nakarmi kota.;Polish;CDI4;alternatives;grupa4;;;;;
item_63;A. Mam worek.%B. Mam worek.;Polish;CDI4;alternatives;grupa4;;;;;
item_64;A. Chcę kanapkę z serem.%B. Chcę kanapkę z serem.;Polish;CDI4;alternatives;grupa4;;;;;
item_65;A. Narysuj misia.%B. Narysuj misia.;Polish;CDI4;alternatives;grupa4;;;;;
item_66;A. Braciszek zrobił kanapkę i jej nie je.%B. Braciszek nie je kanapki.;Polish;CDI4;alternatives;grupa4;;;;;
item_67;A. Jechałem(-am) do przedszkola. Śpiewałem(-am) piosenkę.%B. Jechałem(-am) do przedszkola i śpiewałem(-am) piosenkę.;Polish;CDI4;alternatives;grupa4;;;;;
item_68;"Czy Twoje dziecko opowiada o tym, co ktoś powiedział, mówiąc ""... powiedział(a), że...""?";Polish;CDI3;yesNo;wprost;;;;;
item_69;"Czy Twoje dziecko używa słów ""która"", ""które"" (""co"") itp., żeby połączyć dwa zdania, np. ""Jem ciasto, które zrobiła mama""?";Polish;CDI3;yesNo;wprost;;;;;
item_70;"Czy Twoje dziecko używa słów ""żebym"", ""żebyś"", ""abym"", ""abyś"" itp. w zdaniach takich jak: ""Chcę, żebyś narysowała misia"", ""Zapal światło, abym mógł widzieć""?";Polish;CDI3;yesNo;wprost;;;;;
item_71;"Czy Twoje dziecko używa słów ""mogę"" albo ""musimy"" itp. w zdaniach takich jak ""Mogę zjeść"", ""Musimy iść""?";Polish;CDI3;yesNo;wprost;;;;;
item_72;"Czy Twoje dziecko używa słów ""będę"", ""będą"", ""będziemy"" itp. w zdaniach takich jak ""Oni będą jechać do babci"", ""Kasia będzie śpiewać piosenkę""?";Polish;CDI3;yesNo;wprost;;;;;
item_73;"Czy Twoje dziecko dodaje ""-bym"", ""-byś"", ""-byście"" itp. do czasowników., np. ""Chciałbym cukierka""?";Polish;CDI3;yesNo;wprost;;;;;
item_74;"Czy Twoje dziecko używa słowa ""jeśli"" (""jeżeli""), żeby połączyć dwa zdania, np. ""Pójdę na spacer, jeśli będzie ciepło""?";Polish;CDI3;yesNo;wprost;;;;;
item_75;"Czy Twoje dziecko używa słowa ""bo"" (""ponieważ""), żeby połączyć dwa zdania, np. ""Nie wyjdziemy, bo pada deszcz""?";Polish;CDI3;yesNo;wprost;;;;;
item_76;"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""kim? czym?"", zakończonych na ""-ami"", np. ""lalkami"", ""samochodami"", ""płatkami""?";Polish;CDI3;yesNo;wprost;;;;;
item_77;"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""o/na/w kim? czym?"", zakończonych na ""-ach"", np. ""o zabawkach"", ""na drzewach""?";Polish;CDI3;yesNo;wprost;;;;;
item_78;"Czy Twoje dziecko używa słowa ""więc"", żeby połączyć dwa zdania, np. ""Jest ładna pogoda, więc pójdziemy na spacer""?";Polish;CDI3;yesNo;wprost;;;;;49
item_79;"Czy Twoje dziecko używa form rzeczowników odpowiadających na pytania ""o/na/w kim? czym?"", zakończonych na ""-u"", np. ""w kubku"", ""na łóżku""?";Polish;CDI3;yesNo;wprost;;;;;50
