text_type;text;item_type;category
cdiNameSufix;Słowa i Gesty;;
tooltip;Część „Wypowiedzi” uaktywnia się w zależności od odpowiedzi w części „Łączenie wyrazów”.;sentences10;
longText;Kwestionariusz, który wypełniasz, służy do badania rozwoju mowy najmłodszych dzieci. Opiera się na wiedzy opiekunów na temat rozwoju językowego dziecka. Wystarczy, że wypełnisz kwestionariusz zgodnie z własną wiedzą o dziecku (nie przepytuj go, nie proś o powtarzanie poszczególnych wyrazów, ani nie ucz "nowych słówek").;start;
warning;WAŻNE: Możesz wrócić do wypełniania później, nie tracąc dotychczasowych odpowiedzi: skorzystaj z tego samego linku. Żeby zakończyć wypełnianie, musisz zatwierdzić każdą sekcję.;start;
menuButton;Rozumienie;understanding;
header;Rozumienie;understanding;
catHeader;Pierwsze przejawy rozumienia;understanding;first_signs
longText;Dzieci, zanim zaczną mówić, rozumieją wiele słów i wyrażeń. Można to stwierdzić obserwując ich reakcje na znane słowa lub zwroty. Czy Twoje dziecko wykazuje poniższe reakcje?;understanding;first_signs
choiceNames;Tak, Nie;understanding;first_signs
catHeader;Rozumienie wypowiedzi dorosłych;understanding;phrases
instr; Zaznacz te wypowiedzi, które – Twoim zdaniem – dziecko rozumie. Jeśli na liście czegoś brakuje, dopisz wypowiedź w polu na uwagi.;understanding;phrases
menuButton;Wyrazy;word;
header;Lista wyrazów;word;
longText;"<p>Na kolejnych stronach przedstawiamy listę typowych wyrazów znanych małym dzieciom. Przy tych wyrazach, które Twoje dziecko rozumie, ale samo ich jeszcze nie mówi, zaznacz 'R' . Przy tych wyrazach, które dziecko nie tylko rozumie, ale i samo mówi, proszę zaznaczyć 'M'. .</li></ul><p>Zaznacz słowo również gdy:<br/></p><ul><li>dziecko używa go w innej formie, np. „piesek” zamiast „pies”,</li><li>wymawia je nieco inaczej, np. „lybka” zamiast „rybka” lub „wiójka” zamiast „wiewiórka”,</li><li>używa własnego określenia, np. „dzi” zamiast „piłka”,</li><li>w Waszej rodzinie używa się innego określenia niż to podane w kwestionariuszu.</li></ul><p><strong><br />Uwagi<br/></strong></p>W polu „Uwagi”, które znajduje się na dole każdej strony, możesz dopisać inne formy słów z listy lub możesz dopisać inne formy wyrazów z listy lub własne określenia używane przez dziecko lub rodzinę.<strong><br /></strong></p>";word;firstPage
warning;" UWAGA: Kwestionariusz przeznaczony jest dla dzieci w różnym wieku. Nie martw się, jeśli Twoje dziecko jeszcze nie używa wszystkich słów i gestów, o które pytamy!";word;firstPage
instr;R = tylko rozumie M = rozumie i mówi ;word;allInput
choiceNames;R,M ;word;allInput
catHeader;Odgłosy i wykrzykniki;word;sounds
catHeader;Zwierzęta – prawdziwe lub zabawkowe;word;animals
catHeader;Pojazdy - prawdziwe lub zabawkowe ;word;vehicles
catHeader;Pokarmy i napoje ;word;food_drink
catHeader;Zabawki;word;toys
catHeader;Ubrania ;word;clothing
catHeader;Części ciała ;word;body_parts
catHeader;W domu: pomieszczenia, sprzęty, meble;word;furniture_rooms
catHeader;Przedmioty domowego użytku ;word;household
catHeader;Poza domem ;word;outside
catHeader;Osoby ;word;people
note;item_258%Proszę wpisać, jak dziecko mówi na siebie, np. „Ika”, „Maciuś”, „Dodo”, „dzidzi”. ;word;people
catHeader;Formuły, zabawy, rutynowe czynności ;word;games_routines
catHeader;Przymiotniki i przysłówki ;word;descriptive_words
catHeader;Czasowniki ;word;action_words
catHeader;Określenia miejsca;word;locations
catHeader;Określenia czasu ;word;time_words
note;item_373%w takich zdaniach np. „Już zrobiłem!” albo „Tatuś już nie śpi”.;word;time_words
note;item_374%w takich zdaniach jak np. „Jeszcze pisać!”, „Jeszcze raz mi to zrób!” albo „Jeszcze nie wypiłam”. ;word;time_words
catHeader;Określenia miary ;word;quantifiers
note;item_382%w takich zdaniach jak np. „Jeszcze mleka!”, „Jeszcze jedną truskawkę mi daj!”. ;word;quantifiers
note;item_383%w takich zdaniach jak np. „Ania wszystko wypiła.” albo „Wszystko zepsute.” albo „Wszyscy śpią”. ;word;quantifiers
catHeader;Zaimki;word;pronouns
catHeader;Pytania;word;question_words
help;Przed zatwierdzeniem upewnij się, czy przejrzałaś_eś wszystkie pytania.;word;question_words
menuButton;Naśladownictwo;starting_to_talk;
header;Naśladownictwo;starting_to_talk;
choiceNames;Tak, Nie;starting_to_talk;
longText;"<strong>UWAGA: Poniższe pytanie oraz sekcja „Wypowiedzi” odnoszą się do dzieci, które już znają dość dużo słów. Jeśli Twoje dziecko jeszcze nie łączy słów, zaznacz „Jeszcze nie”, a sekcja „Wypowiedzi” pozostanie nieaktywna.</strong>";combine;
help; Po wybraniu odpowiedzi „Czasem” lub „Często” dostępna stanie się zakładka „Wypowiedzi”.;combine;
menuButton;Wypowiedzi;sentences10;
header;Przykłady wypowiedzi;sentences10;
instr;Jeśli Twoje dziecko łączy wyrazy „czasem” lub „często”, w poniższych polach podaj rzeczywiste przykłady takich wypowiedzi.;sentences10;
menuButton;Gesty;gestures;
longText;Kiedy dzieci uczą się porozumiewać z innymi ludźmi, często posługują się gestami, aby wyrazić swoje pragnienia. Na następnych stronach zaznacz każde określenie, które pasuje do tego, co Twoje dziecko aktualnie robi;gestures;firstPage
header;Czynności i gesty;gestures;
catHeader;Pierwsze gesty komunikatywne;gestures;gestures_first
instr;Czy Twoje dziecko używa wymienionych niżej gestów?;gestures;gestures_first
catHeader;Zabawy i rytuały;gestures;gestures_games
instr;Czy Twoje dziecko wykonuje wymienione niżej czynności?;gestures;gestures_games
catHeader;Działania na przedmiotach;gestures;gestures_objects
instr;Czy Twoje dziecko wykonuje lub próbuje wykonywać którąś z wymienionych niżej czynności?;gestures;gestures_objects
catHeader;Zabawa lalką lub misiem: czynności opiekuńcze;gestures;gestures_parent
instr;Poniżej wypisano czynności opiekuńcze, jakie dzieci wykonują bawiąc się lalkami lub misiami. Zaznacz te z nich, które obserwujesz u swego dziecka.;gestures;gestures_parent
catHeader;Naśladowanie innych czynności dorosłych (na przedmiotach lub zabawkach);gestures;gestures_adult
instr;Czy Twoje dziecko wykonuje lub próbuje wykonywać którąś z wymienionych niżej czynności?;gestures;gestures_adult
instr;Jeśli wypełniłaś_eś wszystkie części kwestionariusza, kliknij przycisk „Zatwierdź”.;end;
endMsgTitle;Dziękujemy za wypełnienie kwestionariusza!;end;
endMsgText;W ciągu tygodnia prześlemy link do kolejnego kwestionariusza na podany wcześniej adres email. W razie wątpliwości prosimy o kontakt: odslowadozdania@uw.edu.pl. Mamy nadzieję, że czas refleksji nad rozwojem językowym dziecka był dla Ciebie cenny! Twoje zaangażowanie w badanie jest bardzo ważne - pomoże nam szczegółowo opisać wczesny rozwój językowy dzieci.;end;

